file_id,file_name,case_id,sample_id,portion_id,analyte_id,aliquots_id,project_id
4236170e-67b4-4bd7-badd-4fcba557d0e3,6df80c92-775e-4bcf-b2c7-6cbd7e147447.rna_seq.augmented_star_gene_counts.tsv,TCGA-43-7657,TCGA-43-7657-01A,TCGA-43-7657-01A-31,TCGA-43-7657-01A-31R,TCGA-43-7657-01A-31R-2125-07,TCGA-LUSC
7da3a15e-9911-4429-98e7-d7ee03d7ad7f,ef697db7-3b14-4999-9e9b-85c37718f615.rna_seq.augmented_star_gene_counts.tsv,TCGA-60-2695,TCGA-60-2695-01A,TCGA-60-2695-01A-01,TCGA-60-2695-01A-01R,TCGA-60-2695-01A-01R-0851-07,TCGA-LUSC
0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e,b1361753-6f8c-4038-addb-9e4767ca627c.rna_seq.augmented_star_gene_counts.tsv,TCGA-21-1070,TCGA-21-1070-01A,TCGA-21-1070-01A-01,TCGA-21-1070-01A-01R,TCGA-21-1070-01A-01R-0692-07,TCGA-LUSC
94cab1e2-dcd6-43b7-b359-75b0c4a485ba,23f1ad0c-c9d5-408f-bba8-1bb71364007b.rna_seq.augmented_star_gene_counts.tsv,TCGA-94-7033,TCGA-94-7033-01A,TCGA-94-7033-01A-11,TCGA-94-7033-01A-11R,TCGA-94-7033-01A-11R-1949-07,TCGA-LUSC
7909042c-47f9-4f3a-9591-71f8856a571d,0648c653-891f-4202-8d83-59be8fc5e80c.rna_seq.augmented_star_gene_counts.tsv,TCGA-68-8250,TCGA-68-8250-01A,TCGA-68-8250-01A-11,TCGA-68-8250-01A-11R,TCGA-68-8250-01A-11R-2296-07,TCGA-LUSC
09152b74-f690-4dbc-a398-1f8dde28ec06,868bc289-3c43-4a0f-bbb1-703f0e9fa33a.rna_seq.augmented_star_gene_counts.tsv,TCGA-60-2715,TCGA-60-2715-01A,TCGA-60-2715-01A-01,TCGA-60-2715-01A-01R,TCGA-60-2715-01A-01R-0851-07,TCGA-LUSC
441e6227-4fa3-4891-92ec-8a6f93a02ec6,fdbb6067-944b-42be-a7d3-9b200157e0f6.rna_seq.augmented_star_gene_counts.tsv,TCGA-NK-A5D1,TCGA-NK-A5D1-01A,TCGA-NK-A5D1-01A-11,TCGA-NK-A5D1-01A-11R,TCGA-NK-A5D1-01A-11R-A26W-07,TCGA-LUSC
be19e560-e5b5-4cf2-aba3-295335d046c9,1fc1521d-7cb1-4a33-b6ed-efee9edc87e2.rna_seq.augmented_star_gene_counts.tsv,TCGA-43-2576,TCGA-43-2576-01A,TCGA-43-2576-01A-01,TCGA-43-2576-01A-01R,TCGA-43-2576-01A-01R-A32Z-07,TCGA-LUSC
e67aefdf-0c86-4390-aee1-2774d24c6cd1,fb202ad6-ab00-453e-bc4e-bdc96965995e.rna_seq.augmented_star_gene_counts.tsv,TCGA-90-6837,TCGA-90-6837-01A,TCGA-90-6837-01A-11,TCGA-90-6837-01A-11R,TCGA-90-6837-01A-11R-1949-07,TCGA-LUSC
d6a0842c-cfda-4abe-9197-d1dba14ec313,81f9213e-6abf-4a0e-9dac-103c76294772.rna_seq.augmented_star_gene_counts.tsv,TCGA-18-3409,TCGA-18-3409-01A,TCGA-18-3409-01A-01,TCGA-18-3409-01A-01R,TCGA-18-3409-01A-01R-0980-07,TCGA-LUSC
75969880-a360-4e72-afe4-752dd6f04289,b9a5766c-e155-423e-a075-10fb14fe87df.rna_seq.augmented_star_gene_counts.tsv,TCGA-39-5039,TCGA-39-5039-01A,TCGA-39-5039-01A-01,TCGA-39-5039-01A-01R,TCGA-39-5039-01A-01R-1443-07,TCGA-LUSC
dbdf3ac8-5a7b-4552-8713-44c819c88fc4,98f050e8-0329-4978-955d-20782d692d41.rna_seq.augmented_star_gene_counts.tsv,TCGA-90-7964,TCGA-90-7964-01A,TCGA-90-7964-01A-21,TCGA-90-7964-01A-21R,TCGA-90-7964-01A-21R-2187-07,TCGA-LUSC
c568fdc8-6942-44ff-a9d9-3f7a03fdc62a,367864dd-ccd2-473e-9661-6ff4342a4e64.rna_seq.augmented_star_gene_counts.tsv,TCGA-73-4658,TCGA-73-4658-01A,TCGA-73-4658-01A-01,TCGA-73-4658-01A-01R,TCGA-73-4658-01A-01R-1755-07,TCGA-LUAD
4c2a4d47-67dd-4c12-8f3b-1c55eb6fd00e,c6bf25d8-abea-411f-bb80-6e6fefb82757.rna_seq.augmented_star_gene_counts.tsv,TCGA-55-8615,TCGA-55-8615-01A,TCGA-55-8615-01A-11,TCGA-55-8615-01A-11R,TCGA-55-8615-01A-11R-2403-07,TCGA-LUAD
